started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-08-01 07:32:50.611000+00:00,2019-08-01 07:55:55.659000+00:00,1385,876,Murrayfield,Riversdale Crescent,55.94476687,-3.243687889,868,Dundas Street,Corner of Dundas Street & Henderson Row,55.96094447,-3.201386994
2019-08-01 07:35:38.922000+00:00,2019-08-01 07:40:54.822000+00:00,315,290,Bruntsfield links,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871,-3.20643533,1024,Meadow Place 2,,55.94023763,-3.194640214
2019-08-01 07:36:13.914000+00:00,2019-08-01 07:48:36.683000+00:00,742,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172,265,Meadows East,Melville Terrace,55.93980947,-3.182738851
2019-08-01 07:36:52.340000+00:00,2019-08-01 07:57:34.216000+00:00,1241,183,Waverley Bridge,near the top of the South ramp,55.9513444,-3.191420999,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715,-3.174126319
2019-08-01 07:37:05.781000+00:00,2019-08-01 07:43:48.292000+00:00,402,265,Meadows East,Melville Terrace,55.93980947,-3.182738851,881,Tollcross,Outside Piccolino,55.9442807,-3.202964359
2019-08-01 07:37:19.371000+00:00,2019-08-01 07:51:53.139000+00:00,873,1025,Dundee Terrace,,55.9397099,-3.220588934,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264
2019-08-01 07:39:52.795000+00:00,2019-08-01 07:55:28.892000+00:00,936,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856
2019-08-01 07:41:58.272000+00:00,2019-08-01 07:51:04.716000+00:00,546,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715,-3.174126319
2019-08-01 07:42:04.456000+00:00,2019-08-01 07:51:14.427000+00:00,549,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715,-3.174126319
2019-08-01 07:42:40.439000+00:00,2019-08-01 07:58:02.155000+00:00,921,262,Canonmills,near Tesco's,55.96280409,-3.196283585,285,Ocean Terminal,Debenhams / Puregym entrance,55.98128601,-3.176351264
2019-08-01 07:44:10.884000+00:00,2019-08-01 08:10:23.702000+00:00,1572,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503981,-3.176686415,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715,-3.174126319
2019-08-01 07:46:08.194000+00:00,2019-08-01 07:48:35.396000+00:00,147,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503981,-3.176686415,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315
2019-08-01 07:46:45.118000+00:00,2019-08-01 07:59:35.995000+00:00,770,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172,265,Meadows East,Melville Terrace,55.93980947,-3.182738851
2019-08-01 07:49:35.466000+00:00,2019-08-01 08:32:32.148000+00:00,2576,1025,Dundee Terrace,,55.9397099,-3.220588934,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715,-3.174126319
2019-08-01 07:54:27.255000+00:00,2019-08-01 08:16:09.043000+00:00,1301,257,Portobello,Edinburgh Leisure Tumbles Centre,55.95700431,-3.116888119,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503981,-3.176686415
2019-08-01 07:56:11.412000+00:00,2019-08-01 08:07:37.356000+00:00,685,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172
2019-08-01 07:57:05.777000+00:00,2019-08-01 08:05:26.611000+00:00,500,259,St Andrew Square,North East corner,55.95490573,-3.192443757,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172
2019-08-01 08:01:59.060000+00:00,2019-08-01 08:13:45.921000+00:00,706,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.9363975,-3.194252203,183,Waverley Bridge,near the top of the South ramp,55.9513444,-3.191420999
2019-08-01 08:03:10.669000+00:00,2019-08-01 08:07:49.128000+00:00,278,259,St Andrew Square,North East corner,55.95490573,-3.192443757,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172
2019-08-01 08:03:23.564000+00:00,2019-08-01 08:10:45.927000+00:00,442,359,Causewayside,Causewayside outside NLS,55.93642988,-3.180114904,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856
2019-08-01 08:04:23.271000+00:00,2019-08-01 08:22:34.769000+00:00,1091,356,East London Street,Outside St. Mary's Primary School,55.95994339,-3.187329202,366,Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592063,-3.191346079
2019-08-01 08:09:08.385000+00:00,2019-08-01 08:59:54.776000+00:00,3046,885,Wester Coates Terrace,Corner of Wester Coates Terrace & Roseburn Terrace,55.9456092,-3.231715619,189,City Chambers,City Chambers Quadrangle,55.95010933,-3.19025777
2019-08-01 08:09:44.553000+00:00,2019-08-01 08:23:10.474000+00:00,805,262,Canonmills,near Tesco's,55.96280409,-3.196283585,865,Craigleith Road,Craigleith road by bus stop,55.95661859,-3.237802968
2019-08-01 08:13:27.182000+00:00,2019-08-01 08:21:34.583000+00:00,487,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,1026,Constitution Street,Next to Burns Statue,55.97544143,-3.166806411
2019-08-01 08:13:37.306000+00:00,2019-08-01 08:32:55.902000+00:00,1158,183,Waverley Bridge,near the top of the South ramp,55.9513444,-3.191420999,285,Ocean Terminal,Debenhams / Puregym entrance,55.98128601,-3.176351264
2019-08-01 08:13:48.895000+00:00,2019-08-01 08:18:18.672000+00:00,269,290,Bruntsfield links,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871,-3.20643533,1024,Meadow Place 2,,55.94023763,-3.194640214
2019-08-01 08:14:21.989000+00:00,2019-08-01 08:23:20.277000+00:00,538,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.9363975,-3.194252203,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676649,-3.202037829
2019-08-01 08:21:46.161000+00:00,2019-08-01 08:27:55.121000+00:00,368,264,Pollock Halls,Pollock Halls Entrance,55.93996347,-3.171585934,1017,Crichton Street,East end of street,55.94475574,-3.186916974
2019-08-01 08:34:28.359000+00:00,2019-08-01 08:40:09.411000+00:00,341,189,City Chambers,City Chambers Quadrangle,55.95010933,-3.19025777,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676649,-3.202037829
2019-08-01 08:35:05.127000+00:00,2019-08-01 08:56:14.664000+00:00,1269,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,265,Meadows East,Melville Terrace,55.93980947,-3.182738851
2019-08-01 08:35:05.678000+00:00,2019-08-01 09:32:27.233000+00:00,3441,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900025,-3.173923554
2019-08-01 08:37:51.379000+00:00,2019-08-01 08:44:56.898000+00:00,425,359,Causewayside,Causewayside outside NLS,55.93642988,-3.180114904,253,Kings Building 2,Sanderson Building,55.92320216,-3.171646245
2019-08-01 08:39:09.795000+00:00,2019-08-01 08:45:12.731000+00:00,362,259,St Andrew Square,North East corner,55.95490573,-3.192443757,289,Castle Street,Near Rose Street,55.95150074,-3.203183907
2019-08-01 08:39:17.733000+00:00,2019-08-01 08:54:54.485000+00:00,936,290,Bruntsfield links,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871,-3.20643533,183,Waverley Bridge,near the top of the South ramp,55.9513444,-3.191420999
2019-08-01 08:39:54.511000+00:00,2019-08-01 09:51:34.524000+00:00,4300,289,Castle Street,Near Rose Street,55.95150074,-3.203183907,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264
2019-08-01 08:40:37.601000+00:00,2019-08-01 09:55:01.422000+00:00,4463,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315
2019-08-01 08:40:54.883000+00:00,2019-08-01 08:54:20.124000+00:00,805,265,Meadows East,Melville Terrace,55.93980947,-3.182738851,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856559,-3.208070182
2019-08-01 08:41:44.759000+00:00,2019-08-01 09:51:36.929000+00:00,4192,289,Castle Street,Near Rose Street,55.95150074,-3.203183907,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264
2019-08-01 08:43:22.772000+00:00,2019-08-01 09:55:01.223000+00:00,4298,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315
2019-08-01 08:46:53.535000+00:00,2019-08-01 09:04:19.296000+00:00,1045,359,Causewayside,Causewayside outside NLS,55.93642988,-3.180114904,868,Dundas Street,Corner of Dundas Street & Henderson Row,55.96094447,-3.201386994
